freq,effect,unit,geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,PRES_NLEG,NR,SI	0.77 	0.52 	1.67 	2.12 	0.76 	0.51 	0.50 	0.50 	1.20 	2.02 	2.10 	2.77 	2.20 	6.84 	16.71 	28.93 
A,PRES_NLEG,NR,SK	0.43 	0.32 	0.27 	0.21 	0.26 	0.19 	0.21 	0.37 	0.37 	0.48 	0.48 	0.37 	0.22 	0.31 	2.15 	8.71 
A,RE_L_ORD,NR,AT	0.70 	0.77 	0.76 	0.62 	0.56 	0.80 	0.29 	0.61 	0.70 	0.70 	0.84 	0.84 	0.56 	0.56 	0.65 	0.82 
A,RE_L_ORD,NR,BE	0.37 	0.38 	0.41 	0.54 	0.71 	0.64 	0.50 	0.52 	0.65 	0.56 	0.43 	0.37 	0.25 	0.25 	0.19 	0.19 
A,RE_L_ORD,NR,BG	0.04 	0.04 	0.04 	0.09 	0.11 	0.15 	0.16 	0.10 	0.17 	0.25 	0.10 	0.09 	0.04 	0.10 	0.08 	0.08 
A,RE_L_ORD,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0.19 	0.23 	0.26 
A,RE_L_ORD,NR,CY	4.48 	5.67 	4.96 	5.49 	5.07 	4.65 	3.48 	2.17 	1.22 	0.90 	0.84 	0.52 	1.20 	2.42 	4.65 	8.45 
A,RE_L_ORD,NR,CZ	0.06 	0.08 	0.09 	0.05 	0.04 	0.03 	0.03 	0.16 	0.05 	0.08 	0.08 	0.07 	0.09 	0.06 	0.05 	0.06 
A,RE_L_ORD,NR,DE	0.17 	0.15 	0.17 	0.18 	0.17 	0.24 	0.27 	0.68 	0.92 	0.57 	0.39 	0.34 	0.19 	0.13 	0.16 	0.18 
A,RE_L_ORD,NR,DK	0.15 	0.15 	0.09 	0.08 	0.25 	0.37 	0.25 	0.47 	0.26 	0.28 	0.29 	0.35 	0.19 	0.26 	0.16 	0.23 
A,RE_L_ORD,NR,EE	0.07 	0.09 	0.06 	0.31 	0.36 	0.44 	0.34 	0.43 	0.35 	0.48 	0.57 	0.83 	0.79 	0.87 	0.83 	0.75 
A,RE_L_ORD,NR,EL	6.20 	5.66 	4.66 	0.95 	1.50 	2.31 	2.48 	1.33 	1.77 	1.74 	1.16 	0.90 	0.65 	0.64 	0.67 	0.56 
A,RE_L_ORD,NR,ES	0.65 	0.62 	0.47 	0.50 	0.40 	0.37 	0.33 	0.29 	0.22 	0.23 	0.27 	0.26 	0.11 	0.07 	0.08 	0.12 
A,RE_L_ORD,NR,EU27_2020	: 	: 	: 	: 	: 	0.36 	0.33 	0.40 b	0.46 	0.39 	0.37 	0.37 	0.22 	0.18 	0.20 	0.25 
A,RE_L_ORD,NR,FI	0.17 	0.32 	0.36 	0.60 	0.57 	0.58 	0.59 	0.62 	1.09 	0.73 	0.61 	0.62 	0.56 	0.23 	0.21 	0.26 
