freq,reason,citizen,duration,unit,geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,OTH,TOTAL,TOTAL,PER,IE	4376 	5326 	5333 	6841 	7916 u	7857 u	7485 u	8823 	6686 	9706 u	20788 u	20369 u
A,OTH,TOTAL,TOTAL,PER,IS	82 	81 	112 	168 	263 	248 	340 	588 	631 	604 	1279 	865 
A,OTH,TOTAL,TOTAL,PER,IT	29642 	27787 	27584 	29316 	94893 	117614 	81261 	106686 	62752 	85171 	114256 b	187754 
A,OTH,TOTAL,TOTAL,PER,LI	: 	97 	89 	128 	103 	105 	84 	78 	68 	58 	68 	89 
A,OTH,TOTAL,TOTAL,PER,LT	265 	188 	313 	373 	567 	640 	556 	539 	654 	1426 	4448 	2086 
A,OTH,TOTAL,TOTAL,PER,LU	378 	340 	398 	413 	915 	1568 	1447 	1064 	1010 	984 	1227 	1173 
A,OTH,TOTAL,TOTAL,PER,LV	2088 	2493 	2933 	1048 	790 	824 	700 	709 	381 	927 	1053 	863 
A,OTH,TOTAL,TOTAL,PER,MT	3094 	2202 	2850 	2713 	2392 	1866 	2067 	2324 	1595 	1697 	2349 	3685 
A,OTH,TOTAL,TOTAL,PER,NL	8334 	13812 	22928 	36437 	39853 	31444 	18675 	21271 	19650 	30980 	37336 	36085 
A,OTH,TOTAL,TOTAL,PER,NO	5042 	5693 	4787 	6490 	12522 	4451 	1722 	1827 	1401 	5255 	5072 	4855 
A,OTH,TOTAL,TOTAL,PER,PL	36912 	106583 	118229 	125923 	50917 	48086 	59269 b	61756 	56211 	120520 	200693 	165442 
A,OTH,TOTAL,TOTAL,PER,PT	3609 	3241 	6102 	6161 	3723 	3186 	6457 	6917 	3711 	5711 	7176 	12251 
A,OTH,TOTAL,TOTAL,PER,RO	1141 	1771 	1625 	1465 	1599 	2286 	1649 	1561 	1239 	2025 	2053 	2039 
A,OTH,TOTAL,TOTAL,PER,SE	20744 	31303 	37634 	39568 	74608 	40134 	29497 	21277 	13364 	14021 	13613 	11045 
A,OTH,TOTAL,TOTAL,PER,SI	110 	78 	109 	86 	232 	214 	153 	167 	146 	146 	341 	263 
A,OTH,TOTAL,TOTAL,PER,SK	791 	552 	952 	2121 	2332 	1647 	1832 	1508 	941 	787 	695 	808 
A,OTH,TOTAL,TOTAL,PER,UK	235991 	337471 	177364 	195904 	152516 	132013 	51739 	: 	: 	: 	: 	: 
